"","B.Code","A.Level.Name","Out.WG.Start","Out.WG.Unit"
"565","EM1026","Diet4",18.3,"kg"
"566","EM1028","T1 CM",19,"kg"
"567","EM1028","T2 CM+DWLM",19,"kg"
"568","EM1028","T3 GNP",19,"kg"
"569","EM1028","T4 CM+DWLP",19,"kg"
"570","EM1028","T5 DWLP",19,"kg"
"571","EM1029","T1 Diet",7.89,"kg"
"572","EM1029","T2 Diet",7.52,"kg"
"573","EM1029","T3 Diet",7.74,"kg"
"574","EM1029","T4 Diet",7.39,"kg"
"575","EM1030","T1 WB+CLM",14.09,"kg"
"576","EM1030","T2 WB+CLM",13.88,"kg"
"577","EM1030","T3 WB+CLM",13.91,"kg"
"578","EM1030","T4 CM",13.85,"kg"
"579","EM1031","T1 SBM",43.5,"kg"
"580","EM1031","T2 BCSM",41.5,"kg"
"581","EM1031","T3 CSM",41.5,"kg"
"582","EM1031","T4 SSM",39,"kg"
"583","EM1032","T1 Control",20.1,"kg"
"584","EM1032","T2 MB",20.1,"kg"
"585","EM1032","T3 MB+GH",20,"kg"
"586","EM1032","T4 GH",20.1,"kg"
"587","EM1033","T1 NPH",19,"kg"
"588","EM1033","T2 NPH+MH",19.8,"kg"
"589","EM1033","T3 NPH+MH",19.2,"kg"
"590","EM1033","T4 NPH+MH",19.6,"kg"
"591","EM1033","T5 MH",20.2,"kg"
"592","EM1034","T1  Hay + Conc  daily",18.75,"kg"
"593","EM1034","T2 Silage + Conc  daily",18.75,"kg"
"594","EM1034","T3 Silage + Conc  Skip-a-day",18.75,"kg"
"595","EM1034","T4 Silage + Conc  Skip-2-days",18.88,"kg"
"596","EM1035","T1  Mash",19.79,"kg"
"597","EM1035","T2 Pelleted",19.85,"kg"
"598","EM1036","T1 Control DBG",19.13,"kg"
"599","EM1036","T2 DBG+SCF",19.85,"kg"
"600","EM1036","T3 DBG+SCF",19.1,"kg"
"601","EM1036","T4 DBG+SCF",19.61,"kg"
"602","EM1036","T5 SCF",19.7,"kg"
"603","EM1037","T1  Control",16.4,"kg"
"604","EM1037","T2 WB+NC",16.7,"kg"
"605","EM1037","T3 WB+NC",16.7,"kg"
"606","EM1037","T4 WB+NC",16.5,"kg"
"607","EM1038","DU1",18.28,"kg"
"608","EM1038","DU2",18.28,"kg"
"609","EM1038","DU3",18.28,"kg"
"610","EM1038","DU4",18.28,"kg"
"611","EM1039","T1 Control",21.02,"kg"
"612","EM1039","T2 NSC",21.04,"kg"
"613","EM1039","T3 Atella",21.02,"kg"
"614","EM1040","T1  Hay Alone",17.85,"kg"
"615","EM1040","T2 Atella",17.65,"kg"
"616","EM1040","T3 Tata",17.7,"kg"
"617","EM1040","T4 Atella+Tata",17.6,"kg"
"618","EM1042","Ration 1 CFM1",23,"kg"
"619","EM1042","Ration2 CFM2",24.2,"kg"
"620","EM1042","Ration3 CFM3",25.6,"kg"
"621","EM1043","Diet A",9.28,"kg"
"622","EM1043","Diet B",7.2,"kg"
"623","EM1043","Diet C",7.83,"kg"
"624","EM1044","Control",535,"kg"
"625","EM1044","Exp 1",485.7,"kg"
"626","EM1044","Exp 2",491.7,"kg"
"627","EM1044","Exp 3",510,"kg"
"628","EM1045","Treatment T1",12.4,"kg"
"629","EM1045","Treatment T2",10.84,"kg"
"630","EM1045","Treatment T3",12.24,"kg"
"631","EM1045","Treatment T4",10.6,"kg"
"632","EM1045","Treatment T5",11.2,"kg"
"633","EM1046","Treatment T1",25.27,"kg"
"634","EM1046","Treatment T2",25.05,"kg"
"635","EM1046","Treatment T3",25.2,"kg"
"636","EM1047","GH0",160.2,"kg"
"637","EM1047","GH25",164.8,"kg"
"638","EM1047","GH50",165.8,"kg"
"639","EM1047","GH75",163.8,"kg"
"640","EM1048","T1 Control",19.33,"kg"
"641","EM1048","T2 35FPH",19.08,"kg"
"642","EM1048","T3 50FPH",19.33,"kg"
"643","EM1049","Treatment T1",23,"kg"
"644","EM1049","Treatment T2",23,"kg"
"645","EM1049","Treatment T3",23,"kg"
"646","EM1049","Treatment T4",23.667,"kg"
"647","EM1050","Treatment T1",197,"kg"
"648","EM1050","Treatment T2",196.8,"kg"
"649","EM1050","Treatment T3",197.2,"kg"
"650","EM1050","Treatment T4",196.8,"kg"
"651","EM1051","T1  A",6.83,"kg"
"652","EM1051","T2 B",6.63,"kg"
"653","EM1051","T3 C",6.58,"kg"
"654","EM1051","T4 D",6.5,"kg"
"655","EM1052","Diet 1",10.43,"kg"
"656","EM1052","Diet 2",10.45,"kg"
"657","EM1052","Diet 3",10.46,"kg"
"658","EM1052","Diet 4",10.46,"kg"
"659","EM1052","Diet 5",10.52,"kg"
"660","EM1053","Diet A",6.5,"kg"
"661","EM1053","Diet B",6.5,"kg"
"662","EM1053","Diet C",6.5,"kg"
"663","EM1053","Diet D",6.5,"kg"
"664","EM1054","M0",153.7,"kg"
"665","EM1054","M15",153,"kg"
"666","EM1054","M20",154.7,"kg"
"667","EM1055","Treatment T1",1.2185,"kg"
"668","EM1055","Treatment T2",1.093,"kg"
"669","EM1055","Treatment T3",1.161,"kg"
"670","EM1055","Treatment T4",1.1588,"kg"
"671","EM1056","Treatment T1",9.83,"kg"
"672","EM1056","Treatment T2",9.1,"kg"
"673","EM1056","Treatment T3",9.6,"kg"
"674","EM1056","Treatment T4",9.4,"kg"
"675","EM1057","Diet R1",0.115,"kg"
"676","EM1057","Diet R2",0.125,"kg"
"677","EM1057","Diet R3",0.12,"kg"
"678","EM1057","Diet R4",0.118,"kg"
"679","EM1058","Treatment T1",14.7,"kg"
"680","EM1058","Treatment T2",14.53,"kg"
"681","EM1058","Treatment T3",14.23,"kg"
"682","EM1058","Treatment T4",14.65,"kg"
"683","EM1059","Diet 1",0.02542,"kg"
"684","EM1059","Diet 2",0.03117,"kg"
"685","EM1059","Diet 3",0.032,"kg"
"686","EM1059","Diet 4",0.02583,"kg"
"687","EM1060","Treatment T1",0.1544,"kg"
"688","EM1060","Treatment T2",0.1545,"kg"
"689","EM1060","Treatment T3",0.15417,"kg"
"690","EM1060","Treatment T4",0.15412,"kg"
"691","EM1062","Diet A M+V+C",0.0446,"kg"
"692","EM1062","Diet B M+C",0.04207,"kg"
"693","EM1062","Diet C V+C",0.0434,"kg"
"694","EM1062","Diet D",0.0432,"kg"
"695","EM1063","Treatment T1",0.0603,"kg"
"696","EM1063","Treatment T2",0.061,"kg"
"697","EM1063","Treatment T3",0.0612,"kg"
"698","EM1063","Treatment T4",0.06,"kg"
"699","EM1063","Treatment T5",0.06,"kg"
"700","EM1063","Treatment T6",0.0605,"kg"
"701","EM1064","Diet 1",0.04092,"kg"
"702","EM1064","Diet 2",0.04099,"kg"
"703","EM1064","Diet 3",0.04096,"kg"
"704","EM1064","Diet 4",0.04094,"kg"
"705","EM1065","Treatment T1",0.4525,"kg"
"706","EM1065","Treatment T2",0.4465,"kg"
"707","EM1065","Treatment T3",0.43,"kg"
"708","EM1067","Control (A)",0.05781,"kg"
"709","EM1067","Treatment 1(B)",0.05758,"kg"
"710","EM1067","Treatment 2 (C)",0.05794,"kg"
"711","EM1067","Treatment 3 (D)",0.05788,"kg"
"712","EM1069","Treatment T1",0.04063,"kg"
"713","EM1069","Treatment T2",0.04057,"kg"
"714","EM1069","Treatment T3",0.04068,"kg"
"715","EM1069","Treatment T4",0.04064,"kg"
"716","EM1070","Treatment T1",0.0321,"kg"
"717","EM1070","Treatment T2",0.0321,"kg"
"718","EM1070","Treatment T3",0.0321,"kg"
"719","EM1070","Treatment T4",0.0321,"kg"
"720","EM1070",NA,0.50212,"kg"
"721","EM1072","Control CA",7.46,"kg"
"722","EM1072","GB",7.25,"kg"
"723","EM1072","GC",6.63,"kg"
"724","EM1072","GD",6.45,"kg"
"725","EM1072","GE",7.18,"kg"
"726","EM1073","GKA",7.99,"kg"
"727","EM1073","GKB",7.12,"kg"
"728","EM1073","GKC",6.87,"kg"
"729","EM1073","GKD",7.52,"kg"
"730","EM1074","RSM1",18.27,"kg"
"731","EM1074","RSM2",18.27,"kg"
"732","EM1074","RSM3",18.27,"kg"
"733","EM1075","Control",51,"kg"
"734","EM1075","MSO",51,"kg"
"735","EM1076","CFM T1",41.5,"kg"
"736","EM1076","CFM T2",41.5,"kg"
"737","EM1076","CFM T3",41.5,"kg"
"738","EM1076","CFM T4",41.5,"kg"
"739","EM1077","Ration1",28.34,"kg"
"740","EM1077","Ration2",31.17,"kg"
"741","EM1077","Ration3",32.38,"kg"
"742","EM1078","Group T1",18.6,"kg"
"743","EM1078","Group T2",18.6,"kg"
"744","EM1078","Group T3",18.6,"kg"
"745","EM1078","Group T4",18.6,"kg"
"746","EM1078","Group T5",18.6,"kg"
"747","EM1079","T1",316.5,"kg"
"748","EM1079","T2",317.75,"kg"
"749","EM1079","T3",318,"kg"
"750","EM1079","T4",319,"kg"
"751","EM1079","T5",319.75,"kg"
"752","EM1081","Treatment T1",18.75,"kg"
"753","EM1081","Treatment T2",18.92,"kg"
"754","EM1081","Treatment T3",19,"kg"
"755","EM1081","Treatment T4",18.67,"kg"
"756","EM1082","Treatment T1",19.78,"kg"
"757","EM1082","Treatment T2",19.78,"kg"
"758","EM1082","Treatment T3",19.78,"kg"
"759","EM1082","Treatment T4",19.78,"kg"
"760","EM1083","Treatment T1",326,"kg"
"761","EM1083","Treatment T2",340,"kg"
"762","EM1083","Treatment T3",318.25,"kg"
"763","EM1084","Diet A",380,"kg"
"764","EM1084","Diet B",385,"kg"
"765","EM1084","Diet C",382,"kg"
"766","EM1084","Diet D",384,"kg"
"767","EM1085","Control",35,"kg"
"768","EM1085","Mconc",35,"kg"
"769","EM1085","Mhay",35,"kg"
"770","EM1086","Control",11.3,"kg"
"771","EM1086","Dried",12.6,"kg"
"772","EM1086","Ensiled",11.9,"kg"
"773","EM1087","Eragrostis teff hay",43.03,"kg"
"774","EM1087","Lucerne Hay",43.03,"kg"
"775","EM1087","Maize S",43.03,"kg"
"776","EM1087","Soybean Hulls",43.03,"kg"
"777","EM1088","Group T1",38,"kg"
"778","EM1088","Group T2",38,"kg"
"779","EM1088","Group T3",38,"kg"
"780","EM1088","Group T4",38,"kg"
"781","EM1089","Ration R1",17.5,"kg"
"782","EM1089","Ration R2",17.5,"kg"
"783","EM1089","Ration R3",17.5,"kg"
"784","EM1090","Treatment T1",15.76,"kg"
"785","EM1090","Treatment T2",15.74,"kg"
"786","EM1090","Treatment T3",15.64,"kg"
"787","EM1090","Treatment T4",15.68,"kg"
"788","EM1090","Treatment T5",15.6,"kg"
"789","EM1091","Treatment T1",22.06,"kg"
"790","EM1091","Treatment T2",20.7,"kg"
"791","EM1091","Treatment T3",22.8,"kg"
"792","EM1091","Treatment T4",23.6,"kg"
"793","EM1092","MCFJM",0.633,"kg"
"794","EM1092","PWFJM",0.645,"kg"
"795","EM1092","RDFFJM",0.673,"kg"
"796","EM1092","RJFM",0.647,"kg"
"797","EM1092","Treatment C",0.613,"kg"
"798","EM1093","Treatment T1",147,"kg"
"799","EM1093","Treatment T2",147,"kg"
"800","EM1093","Treatment T3",147,"kg"
"801","EM1094","Treatment T1",40,"kg"
"802","EM1094","Treatment T2",40,"kg"
"803","EM1094","Treatment T3",40,"kg"
"804","EM1095","Treatment T1",8.05,"kg"
"805","EM1095","Treatment T2",8.05,"kg"
"806","EM1095","Treatment T3",8.05,"kg"
"807","EM1095","Treatment T4",8.05,"kg"
"808","EM1095","Treatment T5",8.05,"kg"
"809","EM1095","Treatment T6",8.05,"kg"
"810","EM1096","RCNS A",6.67,"kg"
"811","EM1096","RCNS B",6.9,"kg"
"812","EM1096","RCNS C",6.52,"kg"
"813","EM1096","RCNS D",6.86,"kg"
"814","EM1097","Treatment T1",6.33,"kg"
"815","EM1097","Treatment T2",6.26,"kg"
"816","EM1097","Treatment T3",6.16,"kg"
"817","EM1097","Treatment T4",6.3,"kg"
"818","EM1098","Treatment T1",89.17,"kg"
"819","EM1098","Treatment T2",83.67,"kg"
"820","EM1098","Treatment T3",86.83,"kg"
"821","EM1099","Treatment T1",13.01,"kg"
"822","EM1099","Treatment T2",13.3,"kg"
"823","EM1099","Treatment T3",13.45,"kg"
"824","EM1099","Treatment T4",13.81,"kg"
"825","EM1100","Control PKC",7.5875,"kg"
"826","EM1100","PFBSM",7.76,"kg"
"827","EM1100","WFBSM",7.5725,"kg"
"828","EM1101","DSBP 1",642,"kg"
"829","EM1101","DSBP 2",642,"kg"
"830","EM1101","YCG",642,"kg"
"831","EM1102","Treatment Control",27.33,"kg"
"832","EM1102","Treatment T1",27.66,"kg"
"833","EM1102","Treatment T2",27.33,"kg"
"834","EM1103","Ration R1",22.75,"kg"
"835","EM1103","Ration R2",22.92,"kg"
"836","EM1103","Ration R3",23.07,"kg"
"837","EM1104","CR50",24,"kg"
"838","EM1104","Control",24,"kg"
"839","EM1104","SB50",24,"kg"
"840","EM1105","1 C",31.13,"kg"
"841","EM1105","1.5C",27.1,"kg"
"842","EM1105","2.5C",27.3,"kg"
"843","EM1105","2C",27.13,"kg"
"844","EM1107","Treatment T1",7.19,"kg"
"845","EM1107","Treatment T2",7.19,"kg"
"846","EM1107","Treatment T3",7.19,"kg"
"847","EM1107","Treatment T4",7.19,"kg"
"848","EM1108","Treatment  T1",31.11,"kg"
"849","EM1108","Treatment  T2",31.18,"kg"
"850","EM1108","Treatment  T3",31.91,"kg"
"851","EO0027","CBS",0.00435,"kg"
"852","EO0027","COC",0.00438,"kg"
"853","EO0027","Reference diet",0.00437,"kg"
"854","EO0032","100% concentrate",14.5,"kg"
"855","EO0032","25%concentrate+75% leaf meal",14.6,"kg"
"856","EO0032","50%concentrate+50% leaf meal",14.6,"kg"
"857","EO0032","75% concentrate+25% leaf meal",14.1,"kg"
"858","EO0041","PL22",439,"kg"
"859","EO0041","PL35",434,"kg"
"860","EO0041","PL45",436,"kg"
"861","EO0041","PLO",433,"kg"
"862","EO0046","0% CFL",13.17,"kg"
"863","EO0046","10% CFL",12.9,"kg"
"864","EO0046","20% CFL",13.5,"kg"
"865","EO0046","30% CFL",13.33,"kg"
"866","EO0047","PP0-0%",1.87,"kg"
"867","EO0047","PP10-10%",1.85,"kg"
"868","EO0047","PP20-20%",1.893,"kg"
"869","EO0047","PP30-30%",1.86,"kg"
"870","EO0057","T0",14.7,"kg"
"871","EO0057","T1",15,"kg"
"872","EO0057","T2",15.2,"kg"
"873","EO0067","No supplements",404.364,"kg"
"874","EO0067","Supplements",403.844,"kg"
"875","EO0074","Hay",14.3,"kg"
"876","EO0074","Hay+Concentate+Tata",14.5,"kg"
"877","EO0074","Hay+Concentrate",14.9,"kg"
"878","EO0074","Hay+Tata",14.3,"kg"
"879","EO0078","0% PJP",13.8,"kg"
"880","EO0078","10%PJP",13.8,"kg"
"881","EO0078","20%PJP",13.8,"kg"
"882","EO0078","30%PJP",13.8,"kg"
"883","EO0078","40%PJP",13.8,"kg"
"884","EO0086","0JKM1",1.1535,"kg"
"885","EO0086","0JKM2",0.0457,"kg"
"886","EO0086","4JKM1",1.1321,"kg"
"887","EO0086","8JKM1",1.2006,"kg"
"888","EO0086","8JKM2",0.0461,"kg"
"889","EO0102","TD0",0.0916083333333333,"kg"
"890","EO0102","TD12",0.0916083333333333,"kg"
"891","EO0102","TD6",0.0916083333333333,"kg"
"892","EO0102","TD9",0.0916083333333333,"kg"
"893","HK0006","D1 No F.polita",5.9,"kg"
"894","HK0006","D2 30 F.polita",6.1,"kg"
"895","HK0006","D3  60 F.polita",5.9,"kg"
"896","HK0006","D4 90 F.polita",6.1,"kg"
"897","HK0008","0% Leucaena Goat",7.25,"kg"
"898","HK0008","0% Leucaena Sheep",16.2,"kg"
"899","HK0008","20% Leucaena Sheep",11.54,"kg"
"900","HK0008","40% Leucaena Goat",7.1,"kg"
"901","HK0008","40% Leucaena Sheep",16.2,"kg"
"902","HK0008","60% Leucaena Goat",7.2,"kg"
"903","HK0008","60% Leucaena Sheep",16.3,"kg"
"904","HK0008","80% Leucaena Goat",6.45,"kg"
"905","HK0011","CW",14,"kg"
"906","HK0011","CW:DSBG",14,"kg"
"907","HK0011","DSBG",14,"kg"
"908","HK0014","D1 No Macuna Bundle 1",0.0105,"kg"
"909","HK0014","D2 5% Treated Macuna Bundle 1",0.0097,"kg"
"910","HK0014","D2 5% Treated Macuna Bundle 2",0.0097,"kg"
"911","HK0014","D3 5% Raw Macuna Bundle 1",0.00965,"kg"
"912","HK0014","D3 5% Raw Macuna Bundle 2",0.00965,"kg"
"913","HK0014","D4 10% Treated Macuna Bundle 1",0.00965,"kg"
"914","HK0014","D5 15% Treated Macuna Bundle 1",0.00963,"kg"
"915","HK0017","0% Animal  Protein Mixture",0.0033,"kg"
"916","HK0017","100% Animal Protein Mixture",0.00298,"kg"
"917","HK0017","25% Animal Protein Mixture",0.00303,"kg"
"918","HK0017","50% Animal Protein Mixture",0.00298,"kg"
"919","HK0017","75% Animal Protein Mixture",0.00302,"kg"
"920","HK0026","Diet 1",8.85,"kg"
"921","HK0026","Diet 2",8.83,"kg"
"922","HK0026","Diet 3",8.82,"kg"
"923","HK0026","Diet 4",8.83,"kg"
"924","HK0026","Diet 5",8.82,"kg"
"925","HK0028","MSP Con",12.3,"kg"
"926","HK0028","MSP1",14.17,"kg"
"927","HK0028","MSP2",14,"kg"
"928","HK0029","Diet A (No Cassava Peals)",13.6,"kg"
"929","HK0029","Diet B 50",13.9,"kg"
"930","HK0029","Diet C 100",14.2,"kg"
"931","HK0033","0% Brewer's Grain",18,"kg"
"932","HK0033","15% Brewer's Grain",18,"kg"
"933","HK0033","30% Brewer's Grain",18,"kg"
"934","HK0033","45% Brewer's Grain",18,"kg"
"935","HK0033","60% Brewer's Grain",18,"kg"
"936","HK0044.1","Diet with 0% UCSM 1",18.68,"kg"
"937","HK0044.1","Diet with 10% UCSM 1",19.17,"kg"
"938","HK0044.1","Diet with 20% UCSM 1",19.14,"kg"
"939","HK0044.1","Diet with 30% UCSM 1",19.12,"kg"
"940","HK0044.2","Diet with 0% UCSM 2",52.3,"kg"
"941","HK0044.2","Diet with 20% UCSM 2",54,"kg"
"942","HK0044.2","Diet with 30% UCSM 2",52.2,"kg"
"943","HK0044.2","Diet with 41.1% UCSM 2",54.2,"kg"
"944","HK0045","Con",0.00739,"kg"
"945","HK0045","OB2",0.00739,"kg"
"946","HK0045","OB3",0.00739,"kg"
"947","HK0045","OB4",0.00739,"kg"
"948","HK0045","OB5",0.00739,"kg"
"949","HK0045","WL6",0.00739,"kg"
"950","HK0045","WL7",0.00739,"kg"
"951","HK0045","WL8",0.00739,"kg"
"952","HK0045","WL9",0.00739,"kg"
"953","HK0082","CHM1",14.31,"kg"
"954","HK0082","CHM2",14.31,"kg"
"955","HK0082","CHM3",14.31,"kg"
"956","HK0082","CHM4",14.31,"kg"
"957","HK0082","Diet Con",14.31,"kg"
"958","HK0086","Diet A",291.7,"kg"
"959","HK0086","Diet B",298.5,"kg"
"960","HK0086","Diet C",290.9,"kg"
"961","HK0086","Diet D",296.8,"kg"
"962","HK0098","10% Mango Diet",0.00354,"kg"
"963","HK0098","10% Palm Kernel Diet",0.00352,"kg"
"964","HK0098","20% Mango Diet",0.0035,"kg"
"965","HK0098","20% Palm Kernel Diet",0.00354,"kg"
"966","HK0098","30% Mango Diet",0.00357,"kg"
"967","HK0098","30% Palm Kernel Diet",0.00355,"kg"
"968","HK0098","Control Diet",0.00351,"kg"
"969","HK0099","0% Palm Kernel Meal",0.00265,"kg"
"970","HK0099","10% Palm Kernel Meal",0.00253,"kg"
"971","HK0099","15% Palm Kernel Meal",0.00254,"kg"
"972","HK0099","20% Palm Kernel Meal",0.00259,"kg"
"973","HK0099","25% Palm Kernel Meal",0.00249,"kg"
"974","HK0099","30% Palm Kernel Meal",0.00264,"kg"
"975","HK0107","0% Palm Oil",28.44,"kg"
"976","HK0107","12% Palm Oil",27.5,"kg"
"977","HK0107","16% Palm Oil",28.9,"kg"
"978","HK0107","4% Palm Oil",29.4,"kg"
"979","HK0107","8% Palm Oil",27.6,"kg"
"980","HK0108","0% Leucaena Diet",5.56,"kg"
"981","HK0108","15% Leucaena Diet",6.97,"kg"
"982","HK0108","30% Leucaena Diet",6.02,"kg"
"983","HK0108","45% Leucaena Diet",5.98,"kg"
"984","HK0118","TM 1",0.00192,"kg"
"985","HK0118","TM 2",0.00235,"kg"
"986","HK0118","TM 3",0.002055,"kg"
"987","HK0118","TM 5",0.00184,"kg"
"988","HK0129","BDG1",52,"kg"
"989","HK0129","BDG2",52,"kg"
"990","HK0129","BDG3",52,"kg"
"991","HK0129","Diet Con",52,"kg"
"992","HK0138","Untreated Straw + Haulms Bundle 1",144,"kg"
"993","HK0138","Untreated Straw + Haulms Bundle 3",144,"kg"
"994","HK0138","Untreated Straw Bundle 1",146.5,"kg"
"995","HK0138","Urea Straw + Haulms Bundle 1",143.1,"kg"
"996","HK0138","Urea Straw + Haulms Bundle 2",143.1,"kg"
"997","HK0138","Urea Straw + Haulms Bundle 3",143.1,"kg"
"998","HK0138","Urea Straw Bundle 1",142.5,"kg"
"999","HK0138","Urea Straw Bundle 2",142.5,"kg"
"1000","HK0143","Concentrate Grass Diet",8.1,"kg"
"1001","HK0143","Cow Pea Husk Diet",8.8,"kg"
"1002","HK0154","0% Leucaena",12.3,"kg"
"1003","HK0154","10% Leucaena",12.3,"kg"
"1004","HK0154","20% Leucaena",12.3,"kg"
"1005","HK0154","30% Leucaena",12.3,"kg"
"1006","HK0154","40% Leucaena",12.3,"kg"
"1007","HK0158","CTB+C",0.095,"kg"
"1008","HK0158","CTB+P",0.103,"kg"
"1009","HK0158","CTB+W",0.104,"kg"
"1010","HK0158","Diet Con",0.101,"kg"
"1011","HK0160","CP",0.0343,"kg"
"1012","HK0160","MC",0.0346,"kg"
"1013","HK0160","PP",0.035,"kg"
"1014","HK0160","YM Con",0.035,"kg"
"1015","HK0160","YP",0.0347,"kg"
"1016","HK0177","120ml FPLE",0.044,"kg"
"1017","HK0177","30ml FPLE",0.044,"kg"
"1018","HK0177","60ml FPLE",0.049,"kg"
"1019","HK0177","90ml FPLE",0.044,"kg"
"1020","HK0177","Control 0 ml FPLE",0.044,"kg"
"1021","HK0182","Con",6.62,"kg"
"1022","HK0182","DCL1",6.52,"kg"
"1023","HK0182","DCL2",6.84,"kg"
"1024","HK0182","DCL3",6.84,"kg"
"1025","HK0210","Chicken M1",0.01078,"kg"
"1026","HK0210","Chicken M2",0.01078,"kg"
"1027","HK0210","Chicken M3",0.01066,"kg"
"1028","HK0210","Diet Con",0.01062,"kg"
"1029","HK0228","Chicken meal sunflower oil cake",0.00613,"kg"
"1030","HK0228","Chicken viscera and groundnut oil cake",0.00612,"kg"
"1031","HK0228","Chicken viscera and soybean oil cake",0.00621,"kg"
"1032","HK0228","Commercial diet 1",0.00622,"kg"
"1033","HK0228","No Crop byproducts diet",0.00628,"kg"
"1034","HK0284","Con",2.72,"kg"
"1035","HK0284","RSA1",2.72,"kg"
"1036","HK0284","RSA2",2.72,"kg"
"1037","HK0284","RSA3",2.72,"kg"
"1038","HK0288","ML1",19.1,"kg"
"1039","HK0288","ML2",19.1,"kg"
"1040","HK0288","Maize Only",19.1,"kg"
"1041","HK0288","SL1",19.1,"kg"
"1042","HK0288","SL2",19.1,"kg"
"1043","HK0288","Sorghum Only",19.1,"kg"
"1044","HK0319","L. jav 25 Diet",0.1532,"kg"
"1045","HK0319","Negative Control Diet",0.1532,"kg"
"1046","HK0324","Acacia 1 LM",61.6,"kg"
"1047","HK0324","Acacia 2 LM",61.6,"kg"
"1048","HK0324","Acacia 3 LM",61.6,"kg"
"1049","HK0324","Acacia 4 LM",61.6,"kg"
"1050","HK0324","Acacia 5 LM",61.6,"kg"
"1051","HK0324","Con",61.6,"kg"
"1052","HK0326","0 g/kg potato hash silage",19,"kg"
"1053","HK0326","160g/kg potato hash silage",19,"kg"
"1054","HK0326","240 g/kg potato hash silage",19,"kg"
"1055","HK0326","320 g/kg potato hash silage",19,"kg"
"1056","HK0326","400 g/kg potato hash silage",19,"kg"
"1057","HK0326","80 g/kg potato hash silage",19,"kg"
"1058","HK0328","Acacia 1 LM",60.6,"kg"
"1059","HK0328","Acacia 2 LM",60.6,"kg"
"1060","HK0328","Acacia 3 LM",60.6,"kg"
"1061","HK0328","Acacia 4 LM",60.6,"kg"
"1062","HK0328","Acacia 5 LM",60.6,"kg"
"1063","HK0328","Con",60.6,"kg"
"1064","HK0329","DC0",22.8,"kg"
"1065","HK0329","DC100",22.2,"kg"
"1066","HK0329","DC150",22.2,"kg"
"1067","HK0329","DC200",22,"kg"
"1068","HK0330","0 g/kg A. tortilis",28.5,"kg"
"1069","HK0330","120 g/kg A. tortilis",28.5,"kg"
"1070","HK0330","150 g/kg A. tortilis",28.5,"kg"
"1071","HK0330","30 g/kg A. tortilis",28.5,"kg"
"1072","HK0330","60 g/kg A. tortilis",28.5,"kg"
"1073","HK0330","90 g/kg A. tortilis",28.5,"kg"
"1074","HK0331","Diet Con",0.0125,"kg"
"1075","HK0331","KLM 1",0.0125,"kg"
"1076","HK0331","KLM 2",0.0125,"kg"
"1077","HK0331","KLM 3",0.0125,"kg"
"1078","HK0331","KLM 4",0.0125,"kg"
"1079","HK0331","MLM 1",0.0125,"kg"
"1080","HK0331","MLM 2",0.0125,"kg"
"1081","HK0331","MLM 3",0.0125,"kg"
"1082","HK0331","MLM 4",0.0125,"kg"
"1083","HK0333","Con",0.046,"kg"
"1084","HK0333","MOLM 1",0.046,"kg"
"1085","HK0333","MOLM 2",0.045,"kg"
"1086","HK0333","MOLM 3",0.046,"kg"
"1087","HK0337","T0  Control...T100 Concentrate...T66 Concentrate",16.8,"kg"
"1088","HK0337","T100 Concentrate",16.5,"kg"
"1089","HK0337","T66 Concentrate",16.8,"kg"
"1090","HK0337",NA,16.65,"kg"
"1091","HK0340","OH D1...OH D2",24.1,"kg"
"1092","HK0340","OH D1...Pasture D3",24,"kg"
"1093","HK0340","OH D2...Pasture D4",245,"kg"
"1094","HK0340","Pasture D3...Pasture D4",24.4,"kg"
"1095","HK0346","CM Bundle1",14.7,"kg"
"1096","HK0346","CM Bundle2",14.7,"kg"
"1097","HK0346","Con Diet Bundle1",14,"kg"
"1098","HK0346","Con Diet Bundle3",14,"kg"
"1099","HK0346","FHM Bundle2",15.7,"kg"
"1100","HK0346","FHM Bundle3",15.7,"kg"
"1101","HK0346","FM Bundle2",16.3,"kg"
"1102","HK0346","FM Bundle3",16.3,"kg"
"1103","HK0346","HM Bundle2",14.4,"kg"
"1104","HK0346","HM Bundle3",14.4,"kg"
"1105","HK0350","Con CSM",14.2,"kg"
"1106","HK0350","Velvet BM 1",14.3,"kg"
"1107","HK0350","Velvet BM 2",14.3,"kg"
"1108","HK0350","Velvet BM 3",14.4,"kg"
"1109","JO1000","MSC0%",232,"kg"
"1110","JO1000","MSC100%",235,"kg"
"1111","JO1000","MSC25%",233.75,"kg"
"1112","JO1000","MSC50%",238.75,"kg"
"1113","JO1001","LEU",16,"kg"
"1114","JO1001","LS",16,"kg"
"1115","JO1001","SAM",16,"kg"
"1116","JO1001","UTS",17,"kg"
"1117","JO1002","M0",345,"kg"
"1118","JO1002","M30",345,"kg"
"1119","JO1002","M60",345,"kg"
"1120","JO1003","CG AS",14,"kg"
"1121","JO1003","CG ASG",14,"kg"
"1122","JO1003","CG AT",14,"kg"
"1123","JO1003","CG MF",14,"kg"
"1124","JO1003","CG VA",14,"kg"
"1125","JO1003","CG hay",14,"kg"
"1126","JO1004","10% cactus",169.6,"kg"
"1127","JO1004","20% cactus",173.6,"kg"
"1128","JO1004","Control Diet",173.5,"kg"
"1129","JO1004","commercial diet",171.8,"kg"
"1130","JO1007","AA S",9.75,"kg"
"1131","JO1007","CP S",10.75,"kg"
